#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:96 out:96 type:P dur:2 cpbdur:2 q:28.08 aq:22.97 tex:10348 mv:1915 misc:945 imb:15 pmb:311 smb:874 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:27.95 aq:21.96 tex:32896 mv:3300 misc:1212 imb:21 pmb:582 smb:597 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:27.92 aq:23.04 tex:9732 mv:1485 misc:831 imb:4 pmb:271 smb:925 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:27.82 aq:22.28 tex:24223 mv:2539 misc:1126 imb:8 pmb:489 smb:703 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:27.75 aq:22.98 tex:17437 mv:2515 misc:1016 imb:12 pmb:447 smb:741 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:27.74 aq:22.72 tex:34979 mv:3122 misc:1115 imb:21 pmb:578 smb:601 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:27.62 aq:22.77 tex:13821 mv:1853 misc:974 imb:3 pmb:347 smb:850 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:27.61 aq:22.44 tex:39303 mv:3698 misc:1191 imb:17 pmb:642 smb:541 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:27.49 aq:22.72 tex:14488 mv:2337 misc:1047 imb:5 pmb:421 smb:774 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:27.44 aq:22.20 tex:31258 mv:3032 misc:1110 imb:14 pmb:562 smb:624 d:- ref:0 ;
