#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:69 out:69 type:P dur:2 cpbdur:2 q:30.83 aq:27.06 tex:30229 mv:2159 misc:1020 imb:9 pmb:427 smb:764 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:30.75 aq:27.00 tex:22853 mv:2057 misc:1026 imb:11 pmb:403 smb:786 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:30.69 aq:27.15 tex:28840 mv:2046 misc:1058 imb:9 pmb:418 smb:773 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:30.61 aq:27.79 tex:26161 mv:1944 misc:967 imb:5 pmb:394 smb:801 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:30.64 aq:27.92 tex:21478 mv:1515 misc:879 imb:4 pmb:327 smb:869 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:30.59 aq:28.63 tex:25021 mv:2130 misc:1009 imb:12 pmb:390 smb:798 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:30.56 aq:28.09 tex:26050 mv:1718 misc:960 imb:4 pmb:374 smb:822 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:30.48 aq:28.58 tex:20002 mv:1667 misc:915 imb:7 pmb:331 smb:862 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:30.44 aq:27.93 tex:23899 mv:1982 misc:991 imb:5 pmb:380 smb:815 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:30.38 aq:29.16 tex:22042 mv:1708 misc:882 imb:7 pmb:336 smb:857 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:30.29 aq:29.74 tex:17982 mv:1436 misc:822 imb:4 pmb:288 smb:908 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:30.23 aq:30.19 tex:21055 mv:1812 misc:869 imb:10 pmb:342 smb:848 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:30.17 aq:30.53 tex:20729 mv:2403 misc:1036 imb:3 pmb:429 smb:768 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:30.08 aq:31.00 tex:18581 mv:3113 misc:1114 imb:8 pmb:499 smb:693 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:30.01 aq:32.11 tex:14210 mv:2507 misc:1051 imb:5 pmb:425 smb:770 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:29.94 aq:25.54 tex:203663 mv:10273 misc:1272 imb:722 pmb:475 smb:3 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:29.84 aq:25.13 tex:16680 mv:3740 misc:1332 imb:21 pmb:602 smb:577 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:29.76 aq:25.49 tex:13182 mv:4129 misc:1321 imb:31 pmb:603 smb:566 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.68 aq:25.56 tex:19606 mv:5007 misc:1323 imb:26 pmb:661 smb:513 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:29.60 aq:25.33 tex:14792 mv:4175 misc:1289 imb:32 pmb:619 smb:549 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:29.49 aq:25.20 tex:17767 mv:3257 misc:1280 imb:13 pmb:559 smb:628 d:- ref:0 ;
